Obersparte	Untersparte	Sparten-Nr.
Schulbücher		
	Abiturwissen	2573
	Alte Schulbücher	886
	Bücher für Lehrer	887
	DDR-Schulbücher	881
	Deutsch als Fremdsprache	880
	Erwachsenenbildung	1806
	Lektürehilfen	2968
	Gesamtschule, Sonstiges	2534
	Grundschule, Sonstiges	873
	Hauptschule, Sonstiges	879
	Realschule, Sonstiges	878
	Gymnasium, Sonstiges	877
	Sonderschule/Förderschule	884
	Handelsschule	883
	Berufsschule	693
	Meisterschule	885
	Telekolleg	882
	Deutsch (Schulbuch)	665
	Englisch (Schulbuch)	666
	Französisch (Schulbuch)	667
	Griechisch (Schulbuch)	960
	Italienisch (Schulbuch)	2648
	Latein (Schulbuch)	668
	Russisch (Schulbuch)	798
	Spanisch (Schulbuch)	2008
	Mathematik (Schulbuch)	669
	Physik (Schulbuch)	670
	Chemie (Schulbuch)	671
	Biologie (Schulbuch)	672
	Erdkunde (Schulbuch)	673
	Geschichte/Politik (Schulbuch)	674
	Philosophie (Schulbuch)	1211
	Religion/Ethik (Schulbuch)	675
	Sozialkunde (Schulbuch)	874
	Kunst (Schulbuch)	876
	Musik (Schulbuch)	875
	Sachkunde/Sachunterricht	2561
	Sport (Schulbuch)	2597
	Vorschule	3031
	Wirtschaftskunde	2932
	Sonstiges - Schulbücher	680
Design/Künste/Film		
	Architektur/Städte (Bildband)	1279
	Auktionskataloge	1816
	Ausstellungskataloge	840
	Audiovisuelle Medien	41
	Avantgarde	3015
	Berühmte Künstler (Bildband)	2694
	Bildende Kunst	1918
	Bildhauerei / Plastik	65
	Buchgestaltung	2728
	Bühnenbild	81
	Design allgemein	1286
	Drehbücher	2958
	Film	128
	Filmwissenschaft	129
	Film/Foto-Zeitschriften	780
	Firmenkataloge	824
	Fotografie	134
	Gartenkunst	1907
	Glasgestaltung	172
	Goldschmiedekunst	173
	Grafik-Design	175
	Holzgestaltung	192
	Innenarchitektur/Wohndesign	2620
	Jugendstil	2988
	Kalligraphie/Schriftkunst	2683
	Keramik/Porzellan	240
	Kommunikationsdesign	245
	Künstler/innen (biographisch)	614
	Kunst allgemein	1285
	Kunst (Bildband)	1282
	Kunstgeschichte	273
	Kunsthandwerk	2602
	Kunstpädagogik	3025
	Kunsttherapie	2642
	Kunstwissenschaft	2955
	Kunstzeitschriften	797
	Malerei	297
	Mediengestaltung	315
	Medienwissenschaft	322
	Mode/Textil	340
	Mode (Bildband)	1280
	Moderne Kunst	1917
	Produkt-Design	388
	Religiöse Kunst	1811
	Schmuck	1916
	Tanz/Theater	2645
	Theaterwissenschaft	480
	Typografie	2730
	Werkverzeichnisse	1899
	Zeichnen	2709
	Sonstiges - Design/Kunst	14
Geowissenschaften		
	Baugeologie	2717
	Geologie	147
	Geo-Botanik	1215
	Geoinformatik	751
	Geo-Ökologie	750
	Geophysik	149
